interactor_A	interactor_B
EBI-11464884	Q21443
Q22227	E2JKZ0
Q22227	G5ECG0
P34509	Q22227
Q94392	Q22227
Q9TYL9	Q22227
Q22329	O44743
Q8TA83	EBI-11464884
Q8WQC0	Q21443
Q23529	Q93198
O44743	Q93198
Q93198	Q95Y13
Q95ZY7	G5ECY0
G5ECY0	Q95ZY7
Q95ZY7	G5ECY0
Q95ZY7	P34574
Q95ZY7	Q20010
Q95ZY7	Q20010
Q95ZY7	Q21443
Q21443	Q965F9
Q9N4L2	Q967F4-2
Q09248	Q9NAN2
P91913	Q9NL29
Q8TA83	Q9NL29
G5ECC0	Q9U308
Q9U308	O44145
O44743	Q9U308
P91400	Q9U308
Q03563	Q9U308
Q9U308	Q23463
Q9U308	Q23158
Q65XX1	Q9U308
Q9U308	Q9U489
Q9U9Y8	P34441
P91349	Q9U9Y8
Q9U9Y8	Q9U211
Q9U9Y8	Q19371
G5EC27	Q9XVI2
Q9XVI2	Q09248
Q9XVI2	Q95ZQ3
Q9NAN2	P34288-2
Q95XQ1	O01498
O01761	Q45FX5
Q45FX5	A0A0K3AV08
Q45FX5	O76840
Q45FX5	Q19275
Q45FX5	O76337
Q45FX5	O17286
Q22505	Q45FX5
Q45FX5	Q9N5D3
P34708	Q45FX5
G5ECK4	Q45FX5
Q6A573	Q45FX5
Q19253	P39055
Q45FX5	Q9UB01
Q45FX5	G5EGT7
Q45FX5	Q9U1W1
G4RTG4	Q19253
Q19253	O17578
Q09442	Q19253
G5ED57	Q19253
Q19253	Q9XZI6
B7WN72	Q19253
Q19253	Q93343
Q20877	Q19253
Q19253	Q19782
Q19253	Q20010
Q19253	G5EFY6
Q19253	Q94246
O01900	Q19253
Q19253	G5EF97
Q19253	Q9U304
Q20223	O16500
Q09544	O16500
Q20393	O16500
G5EDE8	O16500
Q17334	O16500
Q27389	O16500
O45679	O16500
O17970	O16500
Q21563	O16500
G5EGB7	O16500
P91419	O16500
Q95Y90	O16500
O18650	O16500
Q23119	O16500
G5EGN2	O16500
P91479	O16500
Q9UAY0	O16500
