interactor_A	interactor_B
Q9FHW7	Q8GWU7
Q8GWU7	Q9LNT9
Q8GWV6	Q9LZG0
Q8GWW6	Q93Z00
Q8GWX1	Q9SGS2
Q8GX26	Q39012
Q8GX26	Q96287
O04294	Q8GX29
O80480	Q8GX29
Q8GX29	O81629
Q96321	Q8GX29
F4JL11	Q8GX29
Q8GX29	Q9FHW7
Q9SY65	Q8GX29
Q96331	Q8GX41
Q8GX62	Q8GX62
Q8GX70	Q0WV96
Q8GX70	Q8GXA4
Q8GX70	Q8VZ95
Q8VZW1	Q8GX70
Q94F58	Q8GX70
Q8GX70	Q9FFS0
Q8GX77	Q8L7G9
Q8GX77	Q96331
Q8GX77	Q9C5G8
Q9FHW7	Q8GX77
Q9FNR3	Q8GX77
Q8GX77	Q9LNT9
Q8GX77	Q9STS3
Q8GX78	O04326
Q8GX78	Q8VZW1
Q8GX78	F4JN35
Q8GX78	Q94F58
Q8GX78	Q9FZK5
Q0WLB5	Q8GX81
Q9FFZ0	Q8GX81
Q940I0	Q8GXB3
Q96331	Q8GXB3
Q9FMA3	Q8GXD9
Q8GXD9	Q9LUV4
Q9SZI2	Q8GXF7
Q8GXI5	Q8GXI5
O81629	Q8GXL7
Q8GXL7	Q8GXL7
Q8H1G0	Q8GXL7
Q9FVU9	Q8GXL7
Q8GXL7	Q9SCK1
Q38845	Q8GXR6
Q9SUR0	Q9M157
Q8LAZ7	Q8GXU4
Q8GXU4	O65581
Q8GXU4	Q9LF98
Q9ZQC0	Q8GXU4
Q8GXW5	Q56WN1
Q8GXW6	Q9FHW7
Q8GXX5	Q9LII8
Q8GXX5	Q8L866
Q8GXX5	Q9LQT8
Q949M9	Q8GXY3
Q9C6B3	Q8GXZ5
Q94F58	Q8GXZ7
Q8GXZ9	Q38845
F4JN35	Q8GXZ9
Q949M9	Q8GXZ9
Q84JZ7	Q8GY03
Q8LAZ7	Q8GY12
Q8LDC9	Q8GY12
Q8GY12	Q9C9L2
Q9FG13	Q8GY12
Q9LVI4	Q8GY12
Q8VZD5	Q8GY45
Q96287	Q8GY45
O04173	Q8GXR1
O04173	Q9SA19
O04173	Q9SYZ9
Q8GY72	P46639
Q9FEE2	Q8GY72
O04492	Q8GY79
Q39123	Q8GY79
Q8GY79	Q9LII8
O22179	Q8GY95
O22241	Q8GY95
Q8GY95	O23702
Q8GY95	O49617
O82597	Q8GY95
Q38829	Q8GY95
Q39057	Q8GY95
Q8GY95	Q56YJ8
Q8GY95	Q6X7J4
Q8GY95	Q8GYX3
Q8H0T0	Q8GY95
Q8GY95	Q0WLB5
Q8GY95	Q8L7G9
Q8RWF8	Q8GY95
Q8GY95	Q8RXD6
Q8GY95	Q93V56
Q94BX2	Q8GY95
Q9FG29	Q8GY95
Q8GY95	Q9FHR8
Q9FIR9	Q8GY95
Q8GY95	Q9LIK0
Q8GY95	Q9LYL6
Q8GY95	Q9M8U1
Q9SCK1	Q8GY95
Q8GY95	Q9SMP3
Q8GY95	Q9ZSZ8
F4IK01	Q8GY95
Q8GYE4	O04291
Q8GYE4	O22179
Q39237	Q8GYE4
Q0WLB5	Q8GYE4
Q8GYE4	Q8L7G9
Q8GYE4	O81851
Q93XX2	Q8GYE4
Q8GYE4	Q9FIR9
Q9SCK1	Q8GYE4
Q8GYI5	Q84VW0
Q8GYJ9	Q96331
Q8GYJ9	Q9LNW0
Q8GYK6	O81313
Q8GYK6	O82239
Q8GYK6	O82240
O82597	Q8GYK6
Q8GYK6	Q6X7J4
Q8GYK6	Q9LII8
Q8GYK6	Q84JI2
Q8GYK6	Q84K25
Q84K72	Q8GYK6
Q8GYX3	Q8GYK6
Q0WLB5	Q8GYK6
Q8L7G9	Q8GYK6
Q8GYK6	Q8LAK5
Q8GYK6	Q8VZ40
Q8GYK6	Q8W5R5
Q93YW4	Q8GYK6
Q8GYK6	Q94BX2
Q8GYK6	Q96331
Q9FIR9	Q8GYK6
Q8GYK6	Q9LYL6
Q8GYK6	Q9M155
Q8GYK6	Q9SCK1
Q9SYG2	Q8GYK6
Q8GYM1	Q9ZW30
O04326	Q8GYN0
Q8GYN0	Q8GXA4
Q8GYN0	Q8VZW1
Q8GYN0	F4JN35
