interactor_A	interactor_B
EBI-10821555	Q06106
Q12464	P38768
P25359	Q08962
Q03940	P38768
Q08287	Q08962
Q03940	P38768
Q12464	Q03940
Q12464	Q03940
P25638	P38768
Q12499	P38768
Q03940	P38768
Q12464	P38768
P15646	P39990
EBI-11687991	Q12499
P41812	P40993
P38336	P40993
P40993	P38786
P40993	P40993
P38336	P40993
P41812	P40993
P53218	P40993
P38291	P40993
P53833	P41812
P38786	P41812
P53218	P41812
P38336	P41812
P38336	P53833
P38336	P38336
P53218	P38336
P28005	P38336
P38208	P28005
P38786	P28005
P38336	P38786
P40571	P40571
P38336	P40571
P53218	P40571
P53218	P38291
P41812	P38291
P38336	P38291
P53218	P41812
P53218	P38291
P38336	P53218
P28005	P53218
P38336	P41812
P38786	P38336
P38336	EBI-11621275
EBI-11621275	P41812
P52920	P40558
P52920	P40558
P52920	P40558
P52920	P40558
P40558	P52920
P07264	EBI-11666137
P52920	P40558
EBI-10825220	P32639
EBI-10825220	P36048
EBI-10825220	P33334
EBI-10824938	EBI-10054797
EBI-10824938	EBI-10054797
EBI-10824938	EBI-10054797
P26570	P36024
P26570	P36024
P36076	P36024
P36076	Q08438
P36024	P36024
P36024	P36024
Q08438	Q08438
Q08438	Q08438
P36024	P36024
Q08438	Q08438
P36076	P36024
P53072	EBI-11683887
P53072	EBI-11683887
P53072	EBI-11683890
P40506	P36076
P40506	P53332
P40506	P36076
P40506	P53332
P36076	P40506
P36076	P40506
P53332	P36076
P53332	P36076
P00546	P20438
P00546	P20438
P00546	P13365
EBI-10821792	P15646
EBI-2213511	P17214
EBI-2213511	P17214
P40085	Q12232
P40085	Q12232
EBI-10889363	P41819
EBI-10889363	Q07381
EBI-10889363	Q08444
EBI-10889363	P34078
EBI-10889363	P38333
EBI-10889363	P40160
Q08444	EBI-10889363
EBI-10821555	EBI-10821792
EBI-10821792	EBI-10821555
EBI-10821792	EBI-10821555
EBI-10821555	EBI-10821792
EBI-10821555	Q05022
Q05022	EBI-10894903
EBI-10821792	Q06506
EBI-10821812	P33750
EBI-10821555	Q06506
P40160	EBI-10889363
Q01448	P32479
EBI-10821792	Q04217
P47083	Q04217
EBI-10821792	P15646
P38333	P15646
P15646	Q05942
Q05942	P53734
P15646	Q06106
EBI-10821555	Q06106
EBI-10821792	EBI-10821812
Q06679	Q06106
P25635	Q06106
P25635	Q06078
Q06078	Q02354
P40362	Q06078
Q12220	Q05946
P40362	Q02354
P25635	P40362
Q12220	Q06078
Q12220	Q05946
P25635	Q06078
Q02354	Q06078
Q02354	Q02354
Q06078	Q02354
P47083	Q02354
Q06078	Q02354
Q06132	Q12099
EBI-11175111	P38688
P29478	P38985
P32342	P29478
P29478	P38688
P38857	P53157
P53311	P53157
P53311	P53157
P38857	P53157
P53311	P53157
P38857	P53157
P25569	P53076
P40208	P53076
P40547	P53076
P40547	P38263
P40208	P53076
P40208	P53076
Q12508	P53076
EBI-2213511	P30822
EBI-2213511	Q99257
EBI-2213511	P20449
EBI-2213511	Q06163
Q06163	P17214
Q06163	P32807
P19736	EBI-11413715
EBI-11413715	Q02554
Q07350	EBI-11413715
EBI-11413715	P49955
Q99181	EBI-11413715
EBI-11413715	Q07930
EBI-11413715	P46947
Q12417	EBI-11413715
Q06631	P20448
Q06631	P48234
Q06631	P48234
Q06631	P48234
P48234	Q06631
EBI-10821792	P47083
P48234	P20448
P47083	Q06631
P53632	EBI-11175111
Q08162	EBI-11175111
Q12149	EBI-11175111
P53632	EBI-10825186
EBI-10821750	EBI-10821373
EBI-10821555	EBI-10821750
EBI-10860871	Q08647
Q08647	EBI-10860871
P25635	Q12481
Q04305	Q12481
Q02931	Q12481
P53254	Q12481
EBI-10824938	P32639
EBI-10824938	EBI-10054797
EBI-10821555	Q02792
P53261	EBI-10903441
EBI-10903441	Q04660
EBI-10903441	P37838
P47083	Q04305
Q12220	P47083
Q02354	P47083
P47083	Q12136
Q04500	P47083
Q02931	P47083
P38882	P47083
P47083	P40055
Q08492	P47083
Q04177	P47083
Q05946	P47083
Q06679	P47083
P25635	P47083
P47083	Q99207
P42945	P47083
P34247	P47083
P53276	P47083
EBI-10948722	EBI-10821555
EBI-10821555	EBI-10954338
EBI-10954471	EBI-10821555
EBI-10821812	EBI-10821555
EBI-10821555	EBI-10948704
EBI-10821555	EBI-10954933
EBI-10821555	EBI-10954474
EBI-10821555	EBI-10921918
EBI-10821555	EBI-10949017
EBI-10954929	EBI-10821555
EBI-10821555	EBI-10921911
EBI-10821555	EBI-10921959
EBI-10821555	EBI-10922045
EBI-10821555	EBI-10922634
EBI-10821555	EBI-10949020
EBI-10821555	EBI-10921921
EBI-10821555	EBI-10922642
EBI-10821555	EBI-10922160
EBI-10821555	EBI-10949006
EBI-10821555	EBI-10954926
EBI-10821555	EBI-10821792
EBI-10921362	EBI-10821555
EBI-10921233	EBI-10949023
EBI-10921233	EBI-10916376
EBI-10921233	EBI-10921924
EBI-10821555	EBI-10961094
EBI-10821555	EBI-10961091
EBI-10821555	EBI-10949071
EBI-10821555	EBI-10948710
EBI-10821555	EBI-10921899
EBI-10821555	EBI-10954926
EBI-10821555	EBI-10829449
EBI-10821555	EBI-10921939
EBI-10821555	EBI-10922011
EBI-10821555	EBI-10948707
EBI-10821555	EBI-10922682
EBI-10821555	EBI-10824857
EBI-10894903	EBI-10921915
EBI-10825186	EBI-10921915
EBI-10894903	EBI-10821812
P46973	Q08932
Q08932	P46973
EBI-10821792	P39990
EBI-10821812	P39990
P53930	P36118
Q08206	Q06411
P19735	Q06411
P25808	Q06411
P25644	Q06411
P48362	Q06411
P32354	Q06411
Q12411	Q06411
P53150	Q06411
Q07732	Q06411
