mo12976	rt10597	hu9807
mo1337	rt13490	hu4131
rt13927	hu7596
hu11679	rt13979	mo10292
hu15293	mo16996
rt6153	hu15844
mo5730	rt1290	hu6818
rt7958	hu2647	mo708
mo12760	rt5998	hu5767
hu8049	mo12744
mo1270	rt3879	hu5821
rt11805	hu4612	mo8579
hu17382	rt13463	mo15259
hu13216	rt10937	mo8649
rt15105	mo15436
rt10204	hu13625	mo12780
hu9050	mo10975
rt12392	hu18076
rt1367	hu14511	mo13159
hu1097	rt4934	mo4682
hu11649	mo12822
rt8046	mo14663
hu2595	mo6706
rt2384	hu2	mo8370
rt4184	hu14056	mo10767
hu11195	mo12369
hu15099	rt4256	mo9320
rt15356	hu15383	mo16958
rt13217	hu17807
rt13278	mo9741
hu3617	mo6029
rt7597	hu8781	mo4091
mo14453	rt3654	hu11200
rt9669	hu16388
hu11275	rt12380	mo10072
mo10131	rt12009	hu6076
hu6296	mo7309
mo3807	rt3052	hu10078
hu14232	mo16791
rt14517	hu2514	mo14692
mo8891	rt5985	hu986
hu17535	mo17285
hu317	rt2443	mo602
rt10542	hu15713	mo15055
mo12842	rt12965	hu8095
mo4391	rt418	hu3867
hu15632	mo15805
rt4726	hu9802	mo8298
mo14308	rt6823	hu401
mo6902	rt12514	hu7719
rt12469	mo16673
mo12496	rt6296	hu11818
rt1273	hu2024	mo944
rt4535	hu12396	mo5326
rt1843	hu7331
rt151	hu3712	mo6433
hu8942	rt1058	mo3614
hu17529	rt7144	mo13470
rt4316	hu209	mo7548
mo12355	rt12732
mo9490	rt14552	hu13684
rt5306	mo13544
rt4592	hu4896	mo6823
hu1387	rt4354	mo6042
rt13294	mo14714
hu15426	rt12305	mo9874
rt14772	mo15228
rt9288	hu2620	mo10207
mo6938	rt2720	hu11729
mo2422	rt10203	hu3140
mo460	rt8111	hu206
hu6922	mo12662	rt9099
hu2147	mo2644	rt2603
hu4653	rt5772	mo6031
mo16735	rt14639	hu16525
hu17077	mo14385
rt7647	hu4622	mo4402
rt11684	hu12187	mo12911
mo3644	rt7668	hu2047
hu16643	mo13224
rt13133	hu10810	mo16355
rt13426	mo12964
hu10469	rt11182	mo9494
mo3075	rt3778	hu10798
mo8482	rt11245	hu5783
rt1371	hu1339	mo1559
mo3897	rt6373	hu10268
hu9845	mo11585
rt14967	mo16273
rt4088	hu9839	mo4695
hu15878	mo16366
hu17689	mo15410
mo3866	rt3610	hu10684
mo13346	rt11515	hu11207
mo14567	rt12043	hu17440
hu13911	mo17466	rt15620
rt13150	hu11523	mo15409
hu10321	mo8570
rt15398	hu13890	mo8878
rt8733	hu7791	mo9744
mo9276	rt7227	hu7950
hu9099	mo4830
rt12944	hu16421	mo10590
mo13421	rt4470	hu9438
hu11336	mo10425
mo12755	rt2372	hu12431
mo939	rt281	hu7259
mo14405	rt8887	hu10502
rt14155	hu17625
hu13051	rt6309	mo8753
rt11092	hu13577	mo12551
hu6367	mo7935
hu651	rt1641
rt9467	hu14575
mo17056	hu2369	rt5088
hu5315	mo14425
rt7627	hu3173	mo7841
rt14912	hu5075	mo2859
rt7915	hu10981	mo11273
hu5010	rt4627	mo3960
rt3523	hu11498	mo6603
hu17004	mo8712
rt1475	hu13532	mo12215
rt9813	mo16830
hu15982	mo16863
rt9410	hu1037	mo11243
rt10986	hu12658
hu10539	rt1506	mo13722
hu17886	mo12185
rt9419	hu4347	mo11343
rt10078	hu8723	mo7417
mo9007	hu14708	rt6704
hu3062	rt9274	mo2096
