rt13599	hu15738	mo16687
hu4251	mo17091
mo7984	hu13558	rt9727
mo9640	hu6547	rt7698
mo2796	hu1739	rt1076
mo15859	hu14178	rt13598
rt12028	hu14755	mo13994
mo7770	hu12628	rt13545
mo7710	hu3589	rt9160
hu5202	mo5435	rt6597
rt5750	hu6872	mo895
mo7821	hu6219	rt8180
mo11575	hu3262	rt6978
mo8602	hu13792
hu6470	mo7233	rt4084
mo9278	hu10351
rt14121	mo16740
mo4070	hu5380	rt1153
hu12556	mo17380	rt8577
mo10111	hu12774	rt373
rt11437	hu11929	mo11996
mo2780	hu7041	rt5878
mo1939	hu4212	rt11401
mo5337	hu6997	rt10782
mo11398	hu12555
rt10282	hu10345	mo1258
hu939	mo949	rt3174
mo13068	hu16241
rt13558	hu14883	mo2097
rt7149	hu6849	mo7895
rt7137	hu1865	mo17389
hu5354	mo9252
mo13713	hu14506	rt13356
mo11861	hu4938
mo11868	hu9323	rt11018
hu5996	mo1533	rt4792
rt2582	hu15693
mo11849	hu3995
hu10698	rt15164
hu1581	mo5167	rt5312
rt13642	hu14348	mo15088
rt14589	mo15891
rt4512	hu7959	mo2880
mo16851	hu15586	rt13399
rt13772	mo16823
mo9892	hu7186	rt360
mo2435	hu4114
hu4977	mo3001	rt642
rt464	hu172	mo1232
rt11179	mo7796
mo11141	hu14761
rt9389	hu14871	mo7528
rt6800	hu7413	mo15948
mo17480	rt8268
rt4407	hu7164	mo8052
mo8986	hu3024	rt3405
hu13060	mo3336	rt3529
mo12409	hu15514
mo15410	hu17689
mo2256	hu7795	rt2548
rt12990	mo11529
mo16967	hu14018
hu4952	mo4638	rt1740
mo16553	hu14595	rt15680
rt2017	hu1438	mo3243
rt13294	mo14714
rt2160	hu5540
mo15073	hu11209
rt9023	hu8618	mo270
hu13330	mo14903	rt13989
rt1850	hu7268	mo2921
rt8196	hu14688	mo2482
rt3253	hu5526	mo4780
rt7399	hu9371	mo7403
hu16332	mo13708	rt6680
rt4091	hu68	mo3875
mo3212	hu2974
hu13409	mo12617	rt5413
mo15999	hu14580
rt1368	mo13302
rt892	hu12221	mo6846
hu11980	mo7507	rt5899
rt14998	hu17377
hu7860	mo10194
hu3280	mo4567	rt10659
rt14650	hu17217	mo13377
mo13386	rt12491
mo2339	hu4686
mo4019	hu3074	rt1583
rt14186	hu5965	mo15435
rt13116	hu17522
hu1579	mo14357	rt3733
mo6231	hu13026
mo42	hu4728
rt8503	hu12417	mo5091
hu12011	mo12864	rt13048
rt2657	hu8444	mo11992
rt1187	hu6819	mo5741
rt15575	hu503	mo6739
rt14713	hu8606	mo3444
mo13968	hu13605	rt10844
hu7720	mo928	rt2524
mo9089	hu15033
rt749	hu3154	mo5907
hu1762	mo6676	rt3594
hu17228	mo15276
mo13087	hu12679
rt4563	hu15907	mo9529
hu6287	mo9609	rt7984
mo1000	hu12240
rt11494	hu11438	mo13568
hu3331	mo3931	rt11793
rt4994	hu7590
mo16711	hu14756
rt14301	mo5646
mo10896	hu17131
mo16795	hu17112
mo11941	hu9161	rt6253
hu15757	mo13555	rt8093
mo10370	hu10146	rt13163
rt6095	hu8779	mo6763
rt13677	hu17226
mo2641	hu2515	rt11407
rt6384	hu3430	mo6758
rt13310	mo16273
rt7603	hu13983	mo3611
rt11411	hu16721	mo13463
rt3374	hu13704
hu15974	mo17360
rt13767	hu14881	mo11133
rt13291	hu8270	mo9710
mo3975	hu14405
hu8169	mo15024	rt10474
rt14255	hu2007	mo15212
mo9318	hu15295	rt11797
mo3162	hu3122	rt15081
mo15805	hu15632
hu13698	mo12238	rt9115
rt5142	hu9560	mo6098
mo10493	hu17095	rt14304
hu14901	mo12835	rt8910
hu10335	mo7304	rt15261
hu508	mo6	rt1154
rt6559	mo16344
mo3032	hu6518	rt12427
mo11842	hu14573	rt8033
rt12876	hu14701	mo6863
rt3378	hu163	mo5430
rt12897	hu15847	mo16785
mo3199	hu11230	rt755
mo16449	hu17535
rt8962	hu11587	mo1886
rt11672	hu13806	mo3724
rt13011	hu11975	mo6873
rt11828	hu11351	mo670
rt2798	hu5386
hu13891	mo16271
rt1902	hu115	mo2159
rt7524	hu753
mo10010	hu1701	rt4624
mo17374	hu14186	rt12246
rt15218	mo13984
mo10061	hu10971
mo7547	hu13829
hu9299	mo10241	rt8427
rt3729	hu104	mo5898
rt1575	mo12650
hu12333	rt11975
hu10906	mo5540
hu5840	mo14757
hu16873	mo15489	rt12706
rt2576	hu5550	mo7160
hu15942	mo12505	rt14570
mo1925	hu9388	rt3558
mo4650	hu4647	rt9093
rt9164	hu5614	mo10882
mo11469	hu4588
rt12029	hu17367	mo15496
hu5849	mo5755	rt7177
hu9901	mo7981	rt4314
rt12469	mo16673
hu4869	mo7574	rt8641
hu3872	mo1808	rt8964
mo7251	hu3845	rt3400
hu1474	mo4448	rt1535
rt5594	hu6903	mo12566
mo8212	hu17130	rt10415
mo4456	hu6125	rt1861
mo373	hu727	rt1057
mo15568	hu15487
hu2796	mo9395	rt4876
hu3032	mo17125	rt8175
mo10025	hu5677	rt8119
hu3688	mo3666	rt1389
rt7421	hu8145	mo2947
rt6503	hu4302	mo9911
hu11571	mo11928	rt6602
rt4305	hu2452	mo7504
mo7444	hu17999
rt13516	hu17220	mo16196
rt13996	mo14898
mo13483	hu17293	rt12826
mo13954	hu14809
rt9910	hu8276	mo9087
mo1365	hu4710	rt2008
rt4197	hu9746	mo6376
mo14915	hu15055
hu1783	mo6824	rt1505
mo6341	hu11958	rt3491
hu8247	mo2369
hu10548	mo12717	rt9324
mo5827	hu5520	rt5789
mo8313	hu1121	rt5892
hu16297	mo15558	rt13985
mo10289	hu11247
hu928	mo15857
rt11758	hu310	mo1453
rt4540	hu7625	mo12695
rt12525	hu17300	mo14241
mo6877	hu12747	rt8853
mo879	rt6358
mo6850	hu12253	rt6780
mo11076	hu3249	rt8160
mo11797	hu7416
hu1633	mo1430	rt12805
mo14917	hu10232	rt15222
rt2563	hu12301	mo8416
mo1057	hu7550	rt4972
hu10857	rt5545	mo16074
hu7270	mo3749	rt8056
hu12752	mo12556	rt10160
hu12754	mo13406	rt14413
mo17421	hu17939
mo11430	hu15105	rt6477
rt11899	hu4855	mo13625
mo13961	hu13869	rt13947
rt13126	hu11696	mo12248
rt10951	hu7618	mo3378
hu11381	mo15876	rt6943
hu13053	mo11862	rt1631
mo10414	hu16878
mo13369	hu12156
hu9877	mo5709	rt11159
rt13839	hu10138	mo11554
hu5645	mo7735	rt12403
hu9486	mo12246	rt13528
rt13929	mo13180
mo15734	hu14179	rt14449
mo11985	hu2597	rt12353
hu11402	mo10450	rt3304
hu9274	mo5339	rt6344
mo16060	hu9761
mo7103	hu8646	rt9295
hu9728	mo13359	rt12891
rt4791	hu5525	mo2681
mo12969	hu10587	rt5880
hu16678	mo11420	rt9626
mo4807	hu5966	rt2024
rt15688	hu8340	mo11755
rt13563	mo14973
mo13626	hu9472
rt13761	hu15827	mo6855
hu10461	mo9133
hu7868	rt13418
mo279	hu752
mo8822	rt10798
mo6706	hu2595
rt13104	hu15922	mo13168
hu13858	mo1451	rt5376
mo4832	hu7623	rt3917
rt4492	hu10206	mo4301
rt12907	hu11214
rt1818	hu4154	mo3429
rt3879	hu5821	mo1270
rt8328	hu14560	mo3979
hu5832	mo1670	rt5717
hu915	mo2310	rt1123
hu3423	mo53	rt13024
mo8495	hu17173
rt11253	hu15043	mo13925
rt5896	hu2798	mo7282
rt14337	mo13489
hu6080	mo9301	rt1388
hu5568	mo8877	rt14134
mo15813	hu12068
hu1560	mo5692	rt3727
hu6935	mo7374	rt8429
rt14053	hu17607
rt7833	hu10882	mo5926
hu3451	mo3317	rt3432
mo11364	hu10199	rt6549
hu11	mo305	rt1652
rt15379	mo16424
mo16056	hu17710
hu3641	mo2383	rt2097
mo10442	hu8172
rt602	hu2617	mo15415
mo7303	hu1931	rt6601
mo3759	rt15650
rt9458	hu8227	mo9406
mo17238	hu7520	rt4713
rt4280	hu4555	mo2173
hu2190	mo2293	rt665
rt14943	mo3128
hu7876	mo9389	rt7214
hu9422	mo8451	rt2975
mo12776	hu10379
hu4602	mo12129	rt7571
hu8524	mo14701	rt12344
rt13045	hu465	mo1176
rt6529	hu10747	mo11187
rt11461	hu14127
rt5147	hu7816	mo6233
hu10949	mo7116	rt7279
mo11539	hu2955
mo17386	hu4099	rt706
mo1304	hu10893	rt8642
mo14214	hu12802	rt14790
hu1150	mo5575	rt108
rt14988	hu3704
rt5176	hu3791	mo6709
mo3134	hu12907	rt2673
rt5220	hu8020	mo9079
hu890	mo12416	rt9209
hu5922	mo2558	rt1520
hu12947	mo9077	rt14794
hu4183	mo980	rt13565
rt10515	mo13822
mo13820	hu944
mo7006	hu4396	rt3237
rt7134	hu10660	mo11569
hu5073	mo3114	rt3057
mo14704	hu7675
rt4968	hu11083	mo8703
mo16790	hu16737
mo16431	hu16361	rt11705
mo16335	hu16095
rt9050	mo14081
mo14825	rt14534
hu3723	mo7344	rt6451
hu14222	mo3627
rt13225	hu6835	mo4792
rt4483	hu11750	mo2653
hu9206	mo10448	rt12354
hu2544	mo7138	rt14358
mo16122	hu13797	rt12001
hu12163	mo3846	rt5947
hu16135	mo13809	rt2450
hu2464	mo13906	rt3732
mo7423	hu34	rt2303
mo11744	hu12257
mo15132	hu15966	rt13544
rt11413	hu11392	mo1103
mo8351	hu4151	rt3895
hu9618	mo9247	rt7532
rt9813	mo16830
rt4281	hu8269	mo4915
hu7880	mo3372	rt3402
hu5103	mo8245	rt5278
rt3344	hu9406
